surface_form	n_tokens	total_count	doc_count	zipf	replacement	context
amel	1	12	7	1.96	amil	armor Just kind of working on polishing it up fixing it up And you see Amel the like young priest Dude come out and bring her breakfast and then they both
amol	1	4	4	1.91	amil	do something Ogil tried to hold the ladder down and keep it occupied somehow and Amol and Catherine ran for you attacking but you just kept blasting these runes and then
amlet	1	3	3	0	amulet	18 misses inspiration Inspiration I don't Can you Can you inspire a cl the clockwork amlet I that I think that kind of goes against the the like principle Yep Yep
a polyon	2	270	39	0	apollyon	is not here It's not in the plane of souls It's not because from a polyon in the dream world you can see the same sole sense that that connects him
apollion	1	12	6	0	apollyon	scepter from garage with the crown he will bring about the resurrection He will free Apollion in the prison that he is trapped in You will free and undead creature of
a pollyan	2				apollyon	
pollyan	1	10	6	0	apollyon	the the critical thing that we need in the critical moment In the final balance Pollyan Undoubtedly We glad that we into that desert basement One of these spell scrolls can
a polynom	2				apollyon	
polynom	1	9	5	0	apollyon	bad Yes right It wasn't like it was related to a polyon And yeah a polynom was presumed to be just imprisoned So ry organizes like let's try and fix the
apollyons	1	7	5	0	apollyon	is particularly weak to dragon I think it's more that we are particularly weak to Apollyons Yeah We'll be fine Pollyan's gonna be fine Wait A polyon's gonna be fine Mean
apollian	1	6	5	0	apollyon	is not recorded specifically and more precisely whatever we can learn about what happened between Apollian and Schmut at the around the time of the great War Whatever happened after the
apolly on	2	6	5	0	apollyon	you settle in for the night That evening in addition to the normal dreams of Apolly on slowly breaking through from his prison Penzo you have a dream of the jade
a polyons	2				apollyon	
a polyon's	2				apollyon	
polyons	1	26	19	0	apollyon's	society as a way because like at the end of the day come on a Polyons try to recreate the drink Korean Empire today Right What better way than to do
polyon's	1	26	15	0	apollyon's	I was and he looks sort of around This tower happened to me during a polyon's reign I I know little of him other than not all and not all and
apollon's	1	12	10	0	apollyon's	frozen in time but with the door open and you looking into the gloom and Apollon's hands and as you do you realize a polyan has no presence here not even
apollion's	1	3	3	0	apollyon's	to flee the city and gather survivors Avoid what I could of the few of Apollion's forces Dell clinging to life I saw him laughing standing on the steps of his
aporia	1	6	5	1.75	apporia	heard tale of a fallen star in the mangrove swamps on the west coast of Aporia that lit up the lagoons at night and so of course like any good seller
arborio	1	4	3	1.53	arborea	so old and large in the middle of toker and is it growing out of arborio and is that somehow connected to these leakages from the planes I for one would
arkana	1	7	6	1.26	arcana	about that necklace of yours You may look so when you look close make an arkana check So select roll mode normal and roll you know Ridiculous Our God Um yeah
arcata	1	3	3	2.18	arcana	reopen like the walls Ah no not that you can see Can I do in Arcata to try to try to learn more about the staff Sure I mean I'm going
arcas	1	12	8	1.52	arcus	who pass through here I don't know four or five weeks ago Really sit longer arcas what was One night He was kind of quiet Didn't say much Not from his
tunement	1	6	3	0	attunement	multiple people yeah you'd still have to land and spend an hour to switch a tunement and then take off again Can't we just do the drifting thing Can we anchor
a tunement	2				attunement	
arbez	1	10	5	0	aurbez	you A few hours ago A rider came from the north place called the Alliance Arbez You know this It's north of us if you follow the Dunbar-Massail Road up towards
orbez	1	10	5	0	aurbez	home I right now in tower for this new home I have built on the Orbez Plateau among the rangers and the generous kind souls who have built the life of
